Switcher position [A.U],Switcher position [mm],delta Y [mm],Rate [counts/s],Rate error [counts/s],Guides overlap,Guide-area-corr rate [counts/s],Guide-area-corr rate error [counts/s],Turbine overlap,Turbine-area-corr rate [counts/s],Turbine-area-corr rate err [counts/s]
325.0,265.5,629.65,10224.77,13.05,0.0,0.0,0.0,0.6981115660700193,0.0,0.0
1033.5,260.57420917273896,634.5697171024432,10331.43,13.12,0.0,0.0,0.0,0.7543457605197211,0.0,0.0
2047.0,253.52792970424346,641.6073081868839,19465.48,18.01,0.01245814708223636,0.0,0.0,0.825179189971505,0.0,0.0
3074.3,246.3857068152593,648.7407243891985,46082.3,27.71,0.11448990263915282,325157.0502572924,1015.469548458907,0.8851685111196409,367339.15200621454,1147.2047815781987
4058.8,239.54104757822546,655.5769438491213,79286.42,36.35,0.21227074888249353,336405.8772334892,542.3400337437878,0.9312152111304259,361254.7059074749,582.4003165556406
5050.3,232.6477213887698,662.4617702528933,119170.52,44.57,0.31074683730328856,361316.5924628533,365.23401896734305,0.9659745467145056,374043.5953429326,378.09900914013235
6103.7,225.32404029147023,669.7764209172739,166417.27,52.67,0.4153708529789969,386572.57094038127,267.5510664868912,0.9897907202195481,390559.9062947717,270.31074450520714
7063.2,218.65319159879982,676.4390441491641,211048.65,59.31,0.5106686914457169,403696.8397863316,211.96351503161293,0.9994064787040703,403936.5847515868,212.0893946039512
8063.6,211.6979888555508,683.3856708101157,256269.98,65.35,0.6100287306349887,413702.26455343113,171.05280734545818,1.0,413702.26455343113,171.05280734545818
9087.1,204.5821851693099,690.4927003857694,299004.57,70.59,0.7116830690098588,416086.05513418006,139.69939349173538,1.0,416086.05513418006,139.69939349173538
10277.5,196.30602228889842,698.7586583797686,340775.6,75.36,0.8299139673014513,408566.1321926538,111.29901039043924,1.0,408566.1321926538,111.29901039043924
11063.0,190.84489498499786,704.2130518645521,360316.03,77.49,0.9079300716428877,395840.3206825254,95.48862356638782,1.0,395840.3206825254,95.48862356638782
11990.0,184.4,710.65,351215.85,76.51,1.0,351215.85,76.51,1.0,351215.85,76.51
13029.4,177.17365280754393,717.8674367766823,291115.73,69.66,0.896766468679199,323477.0754910594,89.19083833484926,1.0,323477.0754910594,89.19083833484926
14032.9,170.19689755679383,724.8355893699099,232519.42,62.25,0.797098536525626,289161.7470155099,103.55074381043454,1.0,289161.7470155099,103.55074381043454
15204.3,162.0528306900986,732.9696142306043,170402.42,53.29,0.6807547241442657,245624.3949707905,125.17654973704558,1.0,245624.3949707905,125.17654973704558
10549.0,194.41843977711102,700.6439134162023,351015.13,76.49,0.856879431755557,407973.29398061894,105.96830015911445,1.0,407973.29398061894,105.96830015911445
10600.4,194.0610852978997,701.0008272610373,351707.35,76.56,0.8619844957442901,406419.36912676017,104.82967022225532,1.0,406419.36912676017,104.82967022225532
10656.0,193.67453064723531,701.3869052721817,353641.32,76.77,0.8675067050394956,406125.26105415495,103.76787749663798,1.0,406125.26105415495,103.76787749663798
10712.4,193.2824140591513,701.7785383626232,354736.62,76.89,0.8731083705835528,404838.2945516729,102.59798893208796,1.0,404838.2945516729,102.59798893208796
10775.8,192.84163051864553,702.2187783969139,356414.93,77.07,0.8794052783050639,403919.5482970815,101.35198681235886,1.0,403919.5482970815,101.35198681235886
10829.3,192.46967595370768,702.5902743249035,357726.85,77.21,0.8847189149470333,403036.52733684104,100.30090575220638,1.0,403036.52733684104,100.30090575220638
10898.7,191.98717788255465,703.072177453922,359311.7,77.39,0.8916117445349336,401775.5706349535,98.9543106484392,1.0,401775.5706349535,98.9543106484392
10966.3,191.51719417059581,703.541581654522,360426.58,77.51,0.898325797562917,400088.5190547551,97.60091548252298,1.0,400088.5190547551,97.60091548252298
11038.7,191.01383883411916,704.0443163309044,361831.6,77.66,0.9055165880840121,398542.4128391093,96.19739973611287,1.0,398542.4128391093,96.19739973611287
11098.1,190.60086498071155,704.4567809687098,362942.22,77.78,0.9114162145612636,397245.93041160546,95.0590708829769,1.0,397245.93041160546,95.0590708829769
11159.6,190.1732910415774,704.8838276896699,364642.3,77.96,0.9175244136917518,396520.83226108504,93.95669188132013,1.0,396520.83226108504,93.95669188132013
11229.0,189.69079297042435,705.3657308186883,365886.05,78.09,0.9244172432796521,394984.21853035287,92.65110132322002,1.0,394984.21853035287,92.65110132322002
11306.4,189.152675525075,705.9031847406773,366968.2,78.21,0.9321046353560714,392970.09419295006,91.19098139869497,1.0,392970.09419295006,91.19098139869497
11373.0,188.6896442348907,706.365645092156,367863.05,78.3,0.9387193680729902,391224.7431675175,89.93961993776213,1.0,391224.7431675175,89.93961993776213
